C002-13 Split A Run 1 abs. SM5420C-030-A  Sensor ID 1 Socket No. 1.txt																																																							
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	4	15.00	0	5.000	50400	99.96	100.01	100.94	100.220	99.960	99.870	99.870	99.810	100.200	99.890	99.850	5.000669	16.804	floating	N/A	A	15.000900	-0.000073	disabled	0.000000	0.000000	14.76650	26.67298	N/A	N/A	0.01900	26.64447	26.69779	0.05332	2.501970	2.515277	2.488663	0.84991	5883.742	0	0	0	0	0	2/5/2013	1:28:41 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	5	0.50	0	5.000	50500	99.88	100.01	101.15	100.150	99.860	99.810	99.770	99.750	100.100	99.820	99.760	5.000676	16.814	floating	N/A	A	0.500080	-0.000084	disabled	0.000000	0.000000	14.76680	-11.71816	N/A	N/A	0.01161	-11.73424	-11.69978	0.03446	2.501436	2.495540	2.507331	0.85041	5880.338	0	0	0	0	0	2/5/2013	1:44:17 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	0	0.50	0	5.000	60000	75.26	75.01	75.64	75.540	75.270	75.130	75.200	75.120	75.460	75.190	75.160	5.000671	17.944	floating	N/A	A	0.499973	-0.000233	disabled	0.000000	0.000000	14.77030	-12.32740	N/A	N/A	0.05753	-12.40144	-12.23231	0.16913	2.504168	2.497967	2.510369	0.90837	5505.081	0	0	0	0	0	2/5/2013	3:43:54 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	1	15.00	0	5.000	60100	75.47	74.98	75.40	75.660	75.520	75.310	75.460	75.300	75.710	75.380	75.410	5.000673	17.926	floating	N/A	A	15.000100	-0.000092	disabled	0.000000	0.000000	14.77110	28.08373	N/A	N/A	0.40422	27.92574	29.23073	1.30499	2.503703	2.516554	2.490852	0.90744	5510.760	0	0	0	0	0	2/5/2013	4:00:57 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	2	30.00	0	5.000	60200	75.56	75.01	75.56	76.000	75.590	75.350	75.530	75.340	75.790	75.430	75.470	5.000679	17.914	floating	N/A	A	30.000000	0.000169	disabled	0.000000	0.000000	14.77110	69.64202	N/A	N/A	0.02685	69.60338	69.68877	0.08539	2.505380	2.540153	2.470608	0.90684	5514.390	0	0	0	0	0	2/5/2013	4:16:00 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	3	30.00	0	5.000	60300	75.45	74.96	75.51	75.820	75.480	75.270	75.410	75.260	75.670	75.350	75.360	5.000678	17.919	floating	N/A	A	30.000300	0.000139	disabled	0.000000	0.000000	14.77070	69.64497	N/A	N/A	0.02264	69.60790	69.68981	0.08191	2.505383	2.540153	2.470612	0.90709	5512.859	0	0	0	0	0	2/5/2013	4:26:31 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	4	15.00	0	5.000	60400	75.26	75.01	75.43	75.360	75.300	75.140	75.230	75.140	75.490	75.210	75.190	5.000672	17.937	floating	N/A	A	15.001000	-0.000092	disabled	0.000000	0.000000	14.77420	27.94663	N/A	N/A	0.10629	27.68394	28.10052	0.41659	2.504791	2.518703	2.490879	0.90789	5508.011	0	0	0	0	0	2/5/2013	4:46:00 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	6	75.0	5	0.50	0	5.000	60500	75.25	75.01	75.64	75.950	75.190	75.070	75.120	75.060	75.380	75.140	75.090	5.000690	17.948	floating	N/A	A	0.500038	0.000253	disabled	0.000000	0.000000	14.77420	-12.29501	N/A	N/A	0.03522	-12.34443	-12.24052	0.10391	2.504243	2.498032	2.510454	0.90852	5504.219	0	0	0	0	0	2/5/2013	5:01:54 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	0	0.50	0	5.000	70000	50.57	49.96	50.22	50.720	50.630	50.410	50.580	50.450	50.770	50.520	50.520	5.000675	19.132	floating	N/A	A	0.500001	-0.000149	disabled	0.000000	0.000000	14.77780	-12.66635	N/A	N/A	0.08253	-12.76139	-12.46375	0.29763	2.505256	2.498928	2.511585	0.96858	5162.919	0	0	0	0	0	2/5/2013	7:01:14 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	1	15.00	0	5.000	70100	50.82	50.03	50.24	50.950	50.910	50.610	50.860	50.660	51.050	50.740	50.790	5.000687	19.112	floating	N/A	A	14.999800	0.000014	disabled	0.000000	0.000000	14.77840	29.61041	N/A	N/A	0.00038	29.60969	29.61091	0.00122	2.505892	2.520682	2.491102	0.96754	5168.447	0	0	0	0	0	2/5/2013	7:18:29 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	2	30.00	0	5.000	70200	50.89	50.01	50.09	51.030	50.970	50.660	50.940	50.710	51.140	50.820	50.870	5.000688	19.098	floating	N/A	A	30.000100	-0.000062	disabled	0.000000	0.000000	14.77980	73.31529	N/A	N/A	0.00158	73.31089	73.31634	0.00544	2.506530	2.543173	2.469888	0.96680	5172.403	0	0	0	0	0	2/5/2013	7:33:39 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	3	30.00	0	5.000	70300	50.78	50.01	50.24	50.920	50.850	50.570	50.810	50.620	51.000	50.710	50.740	5.000688	19.104	floating	N/A	A	30.000400	-0.000304	disabled	0.000000	0.000000	14.78080	73.33499	N/A	N/A	0.00020	73.33472	73.33529	0.00057	2.506536	2.543191	2.469882	0.96717	5170.424	0	0	0	0	0	2/5/2013	7:44:10 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	4	15.00	0	5.000	70400	50.60	49.98	50.11	50.750	50.650	50.420	50.600	50.480	50.790	50.560	50.550	5.000680	19.124	floating	N/A	A	15.000600	-0.000347	disabled	0.000000	0.000000	14.78210	29.63381	N/A	N/A	0.00033	29.63344	29.63445	0.00101	2.505925	2.520727	2.491124	0.96812	5165.365	0	0	0	0	0	2/5/2013	8:03:12 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	7	50.0	5	0.50	0	5.000	70500	50.50	49.98	50.14	50.660	50.540	50.340	50.480	50.390	50.680	50.470	50.440	5.000675	19.136	floating	N/A	A	0.500011	0.000016	disabled	0.000000	0.000000	14.78400	-12.62146	N/A	N/A	0.00030	-12.62198	-12.62109	0.00089	2.505310	2.498985	2.511635	0.96874	5162.047	0	0	0	0	0	2/5/2013	8:19:24 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	8	25.0	0	0.50	0	5.000	80000	25.95	24.99	22.70	26.040	26.040	25.740	26.000	25.840	26.130	25.910	25.930	5.000687	20.344	floating	N/A	A	0.499967	0.000009	disabled	0.000000	0.000000	14.79700	-13.15442	N/A	N/A	0.00046	-13.15524	-13.15387	0.00137	2.504875	2.498285	2.511465	1.02959	4856.951	0	0	0	0	0	2/5/2013	10:20:25 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	8	25.0	1	15.00	0	5.000	80100	26.21	25.02	22.96	26.290	26.330	25.950	26.300	26.050	26.430	26.120	26.200	5.000669	20.322	floating	N/A	A	14.999700	-0.000070	disabled	0.000000	0.000000	14.79820	31.20055	N/A	N/A	0.00066	31.19913	31.20136	0.00223	2.505537	2.521124	2.489950	1.02847	4862.231	0	0	0	0	0	2/5/2013	10:37:09 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	8	25.0	2	30.00	0	5.000	80200	26.25	25.02	22.78	26.340	26.350	25.960	26.340	26.070	26.470	26.200	26.250	5.000678	20.309	floating	N/A	A	30.000100	-0.000024	disabled	0.000000	0.000000	14.79630	77.05608	N/A	N/A	0.00081	77.05466	77.05726	0.00260	2.506191	2.544705	2.467676	1.02780	4865.417	0	0	0	0	0	2/5/2013	10:52:17 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	8	25.0	3	30.00	0	5.000	80300	26.14	25.02	22.80	26.240	26.230	25.880	26.210	25.980	26.340	26.090	26.130	5.000670	20.315	floating	N/A	A	30.000400	-0.000029	disabled	0.000000	0.000000	14.79560	77.08112	N/A	N/A	0.00072	77.07993	77.08218	0.00225	2.506202	2.544727	2.467677	1.02821	4863.493	0	0	0	0	0	2/5/2013	11:02:47 PM
